,Date,Tweets_Tourism,Passengers_O&D,Netherlands,Belgium,Germany,UK,France,Total,Other_Europe,Outside_Europe,perc_NL,perc_outEU,perc_neighb
0,2018-10-01,6874,4132718,254000,30000,165000,224000,75000,1471000,337000,386000,17.26716519374575,26.240652617267163,33.5825968728756
1,2018-11-01,4487,3316203,244000,30000,100000,218000,69000,1286000,334000,290000,18.973561430793158,22.55054432348367,32.426127527216174
2,2018-12-01,6520,3163052,216000,31000,110000,198000,80000,1248000,318000,296000,17.307692307692307,23.717948717948715,33.57371794871795
3,2019-01-01,5102,2981899,207000,34000,103000,229000,75000,1259000,324000,287000,16.441620333598095,22.795869737887212,35.02779984114376
4,2019-02-01,4153,2981844,213000,32000,112000,269000,77000,1286000,318000,265000,16.56298600311042,20.606531881804045,38.10264385692068
5,2019-03-01,4330,3571422,243000,37000,155000,295000,74000,1544000,396000,344000,15.738341968911918,22.279792746113987,36.33419689119171
6,2019-04-01,7261,4025536,254000,35000,165000,253000,92000,1666000,436000,431000,15.24609843937575,25.8703481392557,32.71308523409363
7,2019-05-01,6234,4237293,258000,30000,158000,258000,75000,1637000,383000,475000,15.760537568723274,29.016493585827735,31.82651191203421
8,2019-06-01,5639,4159562,267000,28000,182000,218000,64000,1581000,317000,505000,16.888045540796963,31.94180898165718,31.119544592030362
9,2019-07-01,8347,4427091,243000,32000,198000,253000,67000,1733000,375000,566000,14.021927293710329,32.66012694748991,31.73687247547605
10,2019-08-01,6194,4495169,249000,32000,201000,246000,99000,1767000,432000,509000,14.091680814940577,28.8058856819468,32.710809281267686
11,2019-09-01,5834,4153928,251000,26000,181000,220000,53000,1521000,322000,467000,16.502301117685732,30.703484549638393,31.558185404339252
12,2019-10-01,5759,4161063,242000,32000,191000,260000,85000,1597000,351000,435000,15.153412648716344,27.238572323105824,35.56668753913588
13,2019-11-01,4338,3353744,230000,35000,116000,241000,85000,1409000,363000,339000,16.323633782824697,24.059616749467708,33.85379701916253
14,2019-12-01,4255,3259261,228000,35000,128000,228000,87000,1376000,335000,335000,16.569767441860463,24.34593023255814,34.73837209302326
15,2020-01-01,5653,3011207,209000,33000,105000,211000,71000,1220000,288000,302000,17.13114754098361,24.75409836065574,34.42622950819672
16,2020-02-01,4919,3011143,224000,38000,120000,257000,76000,1275000,294000,265000,17.568627450980394,20.784313725490197,38.509803921568626
17,2020-03-01,8269,1498230,114000,12000,58000,109000,30000,553000,119000,111000,20.61482820976492,20.07233273056058,37.79385171790235
18,2020-04-01,8847,64573,19000,0,1000,1000,0,30000,5000,1000,63.33333333333333,3.3333333333333335,6.666666666666667
19,2020-05-01,8505,103491,56000,2000,8000,4000,1000,89000,11000,6000,62.92134831460674,6.741573033707865,16.853932584269664
